Category,Level,Attribute,Region,Value,Total
Etnik,Cina,self employed,Borneo,23.33,16.88
Etnik,Cina,unpaid family worker,North,25.59,34.14
Etnik,Cina,unpaid family worker,East,22.05,11
Etnik,Cina,unpaid family worker,South,18.5,22.57
Etnik,Cina,unpaid family worker,West,3.15,15.4
Etnik,Cina,unpaid family worker,Borneo,30.71,16.88
Etnik,India,outside,North,46.09,44.77
Etnik,India,outside,East,7.55,7.7
Etnik,India,outside,South,23.16,24.68
Etnik,India,outside,West,22.36,21.89
Etnik,India,outside,Borneo,0.84,0.96
Etnik,India,employer,North,30.56,44.77
Etnik,India,employer,East,13.89,7.7
Etnik,India,employer,South,30.56,24.68
Etnik,India,employer,West,16.67,21.89
Etnik,India,employer,Borneo,8.33,0.96
Etnik,India,employee,North,37.87,44.77
Etnik,India,employee,East,8.17,7.7
Etnik,India,employee,South,32.15,24.68
Etnik,India,employee,West,20.71,21.89
Etnik,India,employee,Borneo,1.09,0.96
Etnik,India,self employed,North,48.48,44.77
Etnik,India,self employed,East,6.06,7.7
Etnik,India,self employed,South,28.79,24.68
Etnik,India,self employed,West,16.67,21.89
Etnik,India,self employed,Borneo,0,0.96
Etnik,India,unpaid family worker,North,42.86,44.77
Etnik,India,unpaid family worker,East,14.29,7.7
Etnik,India,unpaid family worker,South,28.57,24.68
Etnik,India,unpaid family worker,West,14.29,21.89
Etnik,India,unpaid family worker,Borneo,0,0.96
Etnik,Lain,outside,North,1.61,1.61
Etnik,Lain,outside,East,1.56,1.63
Etnik,Lain,outside,South,0.95,0.95
Etnik,Lain,outside,West,0.36,0.32
Etnik,Lain,outside,Borneo,95.52,95.49
Etnik,Lain,employer,North,0,1.61
Etnik,Lain,employer,East,4.17,1.63
Etnik,Lain,employer,South,8.33,0.95
Etnik,Lain,employer,West,0,0.32
Etnik,Lain,employer,Borneo,87.5,95.49
Etnik,Lain,employee,North,1.04,1.61
Etnik,Lain,employee,East,2.7,1.63
Etnik,Lain,employee,South,1.14,0.95
Etnik,Lain,employee,West,0.42,0.32
Etnik,Lain,employee,Borneo,94.7,95.49
Etnik,Lain,self employed,North,2.41,1.61
Etnik,Lain,self employed,East,1.02,1.63
Etnik,Lain,self employed,South,0.83,0.95
Etnik,Lain,self employed,West,0.19,0.32
Etnik,Lain,self employed,Borneo,95.55,95.49
Etnik,Lain,unpaid family worker,North,0.42,1.61
Etnik,Lain,unpaid family worker,East,0.84,1.63
Etnik,Lain,unpaid family worker,South,0,0.95
Etnik,Lain,unpaid family worker,West,0,0.32
Etnik,Lain,unpaid family worker,Borneo,98.74,95.49
